year, month, day, mean_MO_par, stdev_MO_par, anomaly_MO_par, climato_MO_par, pct_valid_pixels
2010, 07, 01, 37.4733, 0.281340, 1.17160, 36.3017, 100.00
2010, 08, 01, 41.4837, 0.351662, 0.317732, 41.1660, 100.00
2010, 09, 01, 47.3471, 0.550549, -0.180000, 47.5271, 100.00
2010, 10, 01, 50.1028, 2.03317, -1.36907, 51.4719, 100.00
2010, 11, 01, 51.8135, 0.780629, -0.216533, 52.0300, 100.00
2010, 12, 01, 59.4777, 0.683841, 7.70080, 51.7769, 100.00
2011, 01, 01, 56.0384, 1.18235, 5.68720, 50.3512, 100.00
2011, 02, 01, 58.7853, 0.743059, 7.87600, 50.9093, 100.00
2011, 03, 01, 49.8625, 0.765008, 0.290266, 49.5723, 100.00
2011, 04, 01, 45.5849, 0.784079, 2.55493, 43.0300, 100.00
2011, 05, 01, 35.6676, 0.398353, -1.62773, 37.2953, 100.00
2011, 06, 01, 35.6205, 0.660222, 1.25333, 34.3672, 100.00
2011, 07, 01, 38.4749, 0.414196, 2.17320, 36.3017, 100.00
2011, 08, 01, 43.4641, 0.509581, 2.29813, 41.1660, 100.00
2011, 09, 01, 48.7011, 0.796657, 1.17400, 47.5271, 100.00
2011, 10, 01, 49.3413, 1.14092, -2.13053, 51.4719, 100.00
2011, 11, 01, 51.5948, 1.56407, -0.435200, 52.0300, 100.00
2011, 12, 01, 52.5225, 0.623725, 0.745600, 51.7769, 100.00
2012, 01, 01, 49.6996, 1.26964, -0.651600, 50.3512, 100.00
2012, 02, 01, 54.5900, 1.58718, 3.68067, 50.9093, 100.00
2012, 03, 01, 46.8356, 0.617788, -2.73667, 49.5723, 100.00
2012, 04, 01, 40.6611, 0.740302, -2.36893, 43.0300, 100.00
2012, 05, 01, 38.7161, 0.435434, 1.42080, 37.2953, 100.00
2012, 06, 01, 35.1653, 0.676259, 0.798133, 34.3672, 100.00
2012, 07, 01, 35.3133, 0.579041, -0.988399, 36.3017, 100.00
2012, 08, 01, 39.7308, 1.02037, -1.43520, 41.1660, 100.00
2012, 09, 01, 48.1408, 0.712398, 0.613734, 47.5271, 100.00
