time_local,time_utc,air_temp_C,data_coverage_air_temp_C,wind_stress_pa,data_coverage_wind_stress_pa,wind_direction_degtrue,data_coverage_wind_direction_degtrue,wind_U_mps,data_coverage_wind_U_mps,wind_V_mps,data_coverage_wind_V_mps,mean_solar_rad_kwpm2,data_coverage_mean_solar_rad_kwpm2,atm_press_mbar,data_coverage_atm_press_mbar,cumulative_rainfall_mm,data_coverage_cumulative_rainfall_mm
2006-09-12 00:00:00,2006-09-12 10:00:00, 25.03, 1.00, 0.0095, 0.99,  42.0, 1.00,  -0.77, 0.99,  -0.85, 0.99,    0.29, 1.00, -999, 0.00,   0.0, 1.00
2006-09-13 00:00:00,2006-09-13 10:00:00, 24.81, 1.00, 0.0050, 1.00,  73.3, 1.00,  -0.38, 1.00,  -0.12, 1.00,    0.27, 1.00, -999, 0.00,   0.0, 1.00
2006-09-14 00:00:00,2006-09-14 10:00:00, 24.97, 1.00, 0.0045, 1.00, 122.4, 1.00,  -0.78, 1.00,   0.49, 1.00,    0.22, 1.00, -999, 0.00,   0.0, 1.00
2006-09-15 00:00:00,2006-09-15 10:00:00, 25.82, 1.00, 0.0141, 1.00,  77.0, 1.00,  -1.70, 1.00,  -0.39, 1.00,    0.30, 1.00, -999, 0.00,   0.0, 1.00
2006-09-16 00:00:00,2006-09-16 10:00:00, 26.46, 1.00, 0.0108, 1.00,  93.0, 1.00,  -1.99, 1.00,   0.10, 1.00,    0.19, 1.00, -999, 0.00,   0.0, 1.00
2006-09-17 00:00:00,2006-09-17 10:00:00, 25.82, 1.00, 0.0119, 1.00,  61.0, 1.00,  -1.22, 1.00,  -0.68, 1.00,    0.30, 1.00, -999, 0.00,   0.0, 1.00
2006-09-18 00:00:00,2006-09-18 10:00:00, 24.95, 1.00, 0.0020, 1.00, 180.9, 1.00,   0.01, 1.00,   0.72, 1.00,    0.26, 1.00, -999, 0.00,   0.0, 1.00
2006-09-19 00:00:00,2006-09-19 10:00:00, 24.00, 1.00, 0.0060, 1.00, 137.6, 1.00,  -0.76, 1.00,   0.83, 1.00,    0.17, 1.00, -999, 0.00,  42.4, 1.00
2006-09-20 00:00:00,2006-09-20 10:00:00, 25.12, 1.00, 0.0127, 1.00,  82.4, 1.00,  -1.73, 1.00,  -0.23, 1.00,    0.20, 1.00, -999, 0.00,   0.0, 1.00
2006-09-21 00:00:00,2006-09-21 10:00:00, 25.99, 1.00, 0.0158, 1.00,  82.1, 1.00,  -2.06, 1.00,  -0.28, 1.00,    0.30, 1.00, -999, 0.00,   0.0, 1.00
2006-09-22 00:00:00,2006-09-22 10:00:00, 25.58, 1.00, 0.0113, 1.00,  45.1, 1.00,  -1.14, 1.00,  -1.13, 1.00,    0.21, 1.00, -999, 0.00,   0.3, 1.00
2006-09-23 00:00:00,2006-09-23 10:00:00, 25.53, 1.00, 0.0023, 1.00, 151.1, 1.00,  -0.36, 1.00,   0.65, 1.00,    0.31, 1.00, -999, 0.00,   0.3, 1.00
2006-09-24 00:00:00,2006-09-24 10:00:00, 24.69, 1.00, 0.0065, 1.00,  80.8, 1.00,  -0.83, 1.00,  -0.13, 1.00,    0.28, 1.00, -999, 0.00,   0.0, 1.00
2006-09-25 00:00:00,2006-09-25 10:00:00, 25.06, 1.00, 0.0112, 1.00,  43.0, 1.00,  -0.99, 1.00,  -1.06, 1.00,    0.31, 1.00, -999, 0.00,   0.0, 1.00
2006-09-26 00:00:00,2006-09-26 10:00:00, 24.70, 1.00, 0.0063, 1.00, 144.4, 1.00,  -0.83, 1.00,   1.16, 1.00,    0.17, 1.00, -999, 0.00,   2.8, 1.00
2006-09-27 00:00:00,2006-09-27 10:00:00, 26.13, 1.00, 0.0111, 1.00, 108.3, 1.00,  -2.14, 1.00,   0.71, 1.00,    0.25, 1.00, -999, 0.00,   0.8, 1.00
2006-09-28 00:00:00,2006-09-28 10:00:00, 26.55, 1.00, 0.0252, 1.00,  37.3, 1.00,  -1.98, 1.00,  -2.60, 1.00,    0.27, 1.00, -999, 0.00,   0.0, 1.00
2006-09-29 00:00:00,2006-09-29 10:00:00, 26.37, 1.00, 0.0077, 1.00,  38.6, 1.00,  -0.56, 1.00,  -0.70, 1.00,    0.27, 1.00, -999, 0.00,   0.3, 1.00
2006-09-30 00:00:00,2006-09-30 10:00:00, 25.49, 1.00, 0.0060, 1.00,  39.8, 1.00,  -0.51, 1.00,  -0.61, 1.00,    0.22, 1.00, -999, 0.00,   0.0, 1.00
2006-10-01 00:00:00,2006-10-01 10:00:00, 25.14, 1.00, 0.0033, 1.00, 101.3, 1.00,  -0.50, 1.00,   0.10, 1.00,    0.29, 1.00, -999, 0.00,   0.0, 1.00
2006-10-02 00:00:00,2006-10-02 10:00:00, 24.24, 1.00, 0.0020, 1.00, 148.4, 1.00,  -0.23, 1.00,   0.38, 1.00,    0.16, 1.00, -999, 0.00,  38.1, 1.00
2006-10-03 00:00:00,2006-10-03 10:00:00, 24.43, 1.00, 0.0028, 1.00, 147.4, 1.00,  -0.45, 1.00,   0.70, 1.00,    0.19, 1.00, -999, 0.00,   0.3, 1.00
2006-10-04 00:00:00,2006-10-04 10:00:00, 24.67, 1.00, 0.0094, 1.00,  55.2, 1.00,  -0.96, 1.00,  -0.67, 1.00,    0.27, 1.00, -999, 0.00,   0.0, 1.00
2006-10-05 00:00:00,2006-10-05 10:00:00, 25.74, 1.00, 0.0104, 1.00,  43.8, 1.00,  -1.07, 1.00,  -1.12, 1.00,    0.27, 1.00, -999, 0.00,   0.0, 1.00
2006-10-06 00:00:00,2006-10-06 10:00:00, 25.75, 1.00, 0.0089, 1.00,  40.8, 1.00,  -1.04, 1.00,  -1.21, 1.00,    0.26, 1.00, -999, 0.00,   0.3, 1.00
2006-10-07 00:00:00,2006-10-07 10:00:00, 25.98, 1.00, 0.0022, 1.00, 211.3, 1.00,   0.22, 1.00,   0.37, 1.00,    0.33, 1.00, -999, 0.00,   0.0, 1.00
2006-10-08 00:00:00,2006-10-08 10:00:00, 26.08, 1.00, 0.0020, 1.00, 152.7, 1.00,  -0.19, 1.00,   0.36, 1.00,    0.29, 1.00, -999, 0.00,   1.0, 1.00
2006-10-09 00:00:00,2006-10-09 10:00:00, 24.53, 1.00, 0.0175, 1.00, 133.4, 1.00,  -2.04, 1.00,   1.93, 1.00,    0.22, 1.00, -999, 0.00,   8.1, 1.00
2006-10-10 00:00:00,2006-10-10 10:00:00, 25.19, 1.00, 0.0048, 1.00, 139.9, 1.00,  -0.89, 1.00,   1.06, 1.00,    0.22, 1.00, -999, 0.00,   0.8, 1.00
2006-10-11 00:00:00,2006-10-11 10:00:00, 25.30, 1.00, 0.0056, 1.00,  40.6, 1.00,  -0.55, 1.00,  -0.65, 1.00,    0.20, 1.00, -999, 0.00,   0.0, 1.00
2006-10-12 00:00:00,2006-10-12 10:00:00, 26.05, 1.00, 0.0024, 1.00, 139.7, 1.00,  -0.54, 1.00,   0.64, 1.00,    0.27, 1.00, -999, 0.00,   0.0, 1.00
2006-10-13 00:00:00,2006-10-13 10:00:00, 25.89, 1.00, 0.0129, 1.00, 126.4, 1.00,  -1.98, 1.00,   1.46, 1.00,    0.32, 1.00, -999, 0.00,   0.0, 1.00
2006-10-14 00:00:00,2006-10-14 10:00:00, 25.55, 1.00, 0.0186, 1.00, 134.1, 1.00,  -2.41, 1.00,   2.34, 1.00,    0.24, 1.00, -999, 0.00,   0.0, 1.00
2006-10-15 00:00:00,2006-10-15 10:00:00, 26.82, 1.00, 0.0093, 1.00, 100.2, 1.00,  -1.43, 1.00,   0.26, 1.00,    0.28, 1.00, -999, 0.00,   0.0, 1.00
2006-10-16 00:00:00,2006-10-16 10:00:00, 27.42, 1.00, 0.0148, 1.00,  95.2, 1.00,  -2.38, 1.00,   0.22, 1.00,    0.31, 1.00, -999, 0.00,   0.0, 1.00
2006-10-17 00:00:00,2006-10-17 10:00:00, 27.21, 1.00, 0.0147, 1.00,  89.5, 1.00,  -2.43, 1.00,  -0.02, 1.00,    0.32, 1.00, -999, 0.00,   0.0, 1.00
2006-10-18 00:00:00,2006-10-18 10:00:00, 27.14, 1.00, 0.0148, 1.00,  80.9, 1.00,  -2.12, 1.00,  -0.34, 1.00,    0.26, 1.00, -999, 0.00,   0.0, 1.00
2006-10-19 00:00:00,2006-10-19 10:00:00, 26.91, 1.00, 0.0162, 1.00,  67.1, 1.00,  -2.19, 1.00,  -0.92, 1.00,    0.31, 1.00, -999, 0.00,   0.0, 1.00
2006-10-20 00:00:00,2006-10-20 10:00:00, 26.87, 1.00, 0.0196, 1.00,  40.0, 1.00,  -1.71, 1.00,  -2.05, 1.00,    0.28, 1.00, -999, 0.00,   0.0, 1.00
2006-10-21 00:00:00,2006-10-21 10:00:00, 25.44, 1.00, 0.0035, 1.00, 181.1, 1.00,   0.02, 1.00,   0.78, 1.00,    0.13, 1.00, -999, 0.00,  11.2, 1.00
2006-10-22 00:00:00,2006-10-22 10:00:00, 23.67, 1.00, 0.0048, 1.00, 149.4, 1.00,  -0.72, 1.00,   1.22, 1.00,    0.07, 1.00, -999, 0.00,  10.2, 1.00
2006-10-23 00:00:00,2006-10-23 10:00:00, 24.01, 1.00, 0.0163, 1.00, 136.4, 1.00,  -1.61, 1.00,   1.69, 1.00,    0.03, 1.00, -999, 0.00,  52.6, 1.00
2006-10-24 00:00:00,2006-10-24 10:00:00, 24.77, 1.00, 0.0083, 1.00, 102.8, 1.00,  -0.98, 1.00,   0.22, 1.00,    0.20, 1.00, -999, 0.00,   0.0, 1.00
2006-10-25 00:00:00,2006-10-25 10:00:00, 25.02, 1.00, 0.0257, 1.00, 133.6, 1.00,  -2.60, 1.00,   2.48, 1.00,    0.33, 1.00, -999, 0.00,   0.0, 1.00
2006-10-26 00:00:00,2006-10-26 10:00:00, 24.84, 1.00, 0.0119, 1.00, 121.2, 1.00,  -1.73, 1.00,   1.05, 1.00,    0.30, 1.00, -999, 0.00,   0.5, 1.00
2006-10-27 00:00:00,2006-10-27 10:00:00, 23.87, 1.00, 0.0080, 1.00,  40.9, 1.00,  -0.71, 1.00,  -0.82, 1.00,    0.17, 0.99, -999, 0.00,  20.6, 1.00
2006-10-28 00:00:00,2006-10-28 10:00:00, 24.24, 1.00, 0.0025, 1.00, 137.3, 1.00,  -0.21, 1.00,   0.23, 1.00,    0.09, 1.00, -999, 0.00,  28.2, 1.00
2006-10-29 00:00:00,2006-10-29 10:00:00, 25.21, 1.00, 0.0036, 1.00, 136.0, 1.00,  -0.84, 1.00,   0.87, 1.00,    0.17, 1.00, -999, 0.00,   0.0, 1.00
2006-10-30 00:00:00,2006-10-30 10:00:00, 25.43, 1.00, 0.0233, 1.00, 129.0, 1.00,  -2.80, 1.00,   2.27, 1.00,    0.33, 1.00, -999, 0.00,   0.0, 1.00
2006-10-31 00:00:00,2006-10-31 10:00:00, 24.66, 1.00, 0.0112, 1.00, 136.6, 1.00,  -1.52, 1.00,   1.60, 1.00,    0.28, 1.00, -999, 0.00,   0.0, 1.00
2006-11-01 00:00:00,2006-11-01 10:00:00, 24.16, 1.00, 0.0105, 1.00,  47.2, 1.00,  -0.95, 1.00,  -0.88, 1.00,    0.28, 1.00, -999, 0.00,   0.0, 1.00
2006-11-02 00:00:00,2006-11-02 10:00:00, 24.93, 1.00, 0.0030, 1.00, 138.3, 1.00,  -0.59, 1.00,   0.67, 1.00,    0.25, 1.00, -999, 0.00,   0.0, 1.00
2006-11-03 00:00:00,2006-11-03 10:00:00, 26.40, 1.00, 0.0031, 1.00, 142.3, 1.00,  -0.47, 1.00,   0.61, 1.00,    0.23, 0.99, -999, 0.00,   0.0, 1.00
2006-11-04 00:00:00,2006-11-04 10:00:00, 26.08, 1.00, 0.0089, 1.00, 142.8, 1.00,  -1.35, 1.00,   1.78, 1.00,    0.30, 1.00, -999, 0.00,   0.0, 1.00
2006-11-05 00:00:00,2006-11-05 10:00:00, 25.07, 1.00, 0.0127, 1.00,  53.0, 1.00,  -1.15, 1.00,  -0.87, 1.00,    0.31, 1.00, -999, 0.00,   1.0, 1.00
2006-11-06 00:00:00,2006-11-06 10:00:00, 26.06, 1.00, 0.0131, 1.00,  69.2, 1.00,  -1.97, 1.00,  -0.75, 1.00,    0.32, 1.00, -999, 0.00,   1.0, 1.00
2006-11-07 00:00:00,2006-11-07 10:00:00, 26.31, 1.00, 0.0047, 1.00,  32.5, 1.00,  -0.50, 1.00,  -0.78, 1.00,    0.31, 1.00, -999, 0.00,   0.0, 1.00
2006-11-08 00:00:00,2006-11-08 10:00:00, 25.72, 1.00, 0.0079, 1.00,  37.4, 1.00,  -0.74, 1.00,  -0.96, 1.00,    0.33, 1.00, -999, 0.00,   7.1, 1.00
2006-11-09 00:00:00,2006-11-09 10:00:00, 26.14, 1.00, 0.0074, 1.00,  41.5, 1.00,  -0.64, 1.00,  -0.72, 1.00,    0.32, 1.00, -999, 0.00,   0.0, 1.00
2006-11-10 00:00:00,2006-11-10 10:00:00, 26.40, 1.00, 0.0115, 1.00,  36.0, 1.00,  -0.88, 1.00,  -1.21, 1.00,    0.31, 1.00, -999, 0.00,   0.0, 1.00
2006-11-11 00:00:00,2006-11-11 10:00:00, 26.80, 1.00, 0.0088, 1.00,  53.1, 1.00,  -1.10, 1.00,  -0.82, 1.00,    0.28, 1.00, -999, 0.00,   0.0, 1.00
2006-11-12 00:00:00,2006-11-12 10:00:00, 26.08, 1.00, 0.0083, 1.00,  38.6, 1.00,  -0.71, 1.00,  -0.88, 1.00,    0.31, 1.00, -999, 0.00,   0.0, 1.00
2006-11-13 00:00:00,2006-11-13 10:00:00, 25.94, 1.00, 0.0051, 1.00,  48.0, 1.00,  -0.60, 1.00,  -0.54, 1.00,    0.30, 1.00, -999, 0.00,   0.0, 1.00
2006-11-14 00:00:00,2006-11-14 10:00:00, 25.84, 1.00, 0.0063, 1.00,  33.4, 1.00,  -0.55, 1.00,  -0.83, 1.00,    0.31, 1.00, -999, 0.00,   0.0, 1.00
2006-11-15 00:00:00,2006-11-15 10:00:00, 25.53, 1.00, 0.0064, 1.00, 135.7, 1.00,  -1.02, 1.00,   1.05, 1.00,    0.13, 1.00, -999, 0.00,   7.6, 1.00
2006-11-16 00:00:00,2006-11-16 10:00:00, 24.74, 1.00, 0.0026, 1.00, 153.2, 1.00,  -0.40, 1.00,   0.79, 1.00,    0.06, 1.00, -999, 0.00,   5.1, 1.00
2006-11-17 00:00:00,2006-11-17 10:00:00, 25.36, 1.00, 0.0046, 1.00, 118.4, 1.00,  -0.76, 1.00,   0.41, 1.00,    0.15, 1.00, -999, 0.00,   1.8, 1.00
2006-11-18 00:00:00,2006-11-18 10:00:00, 26.36, 1.00, 0.0116, 1.00,  88.1, 1.00,  -1.68, 1.00,  -0.06, 1.00,    0.25, 1.00, -999, 0.00,   3.3, 1.00
2006-11-19 00:00:00,2006-11-19 10:00:00, 26.24, 1.00, 0.0140, 1.00,  46.0, 1.00,  -1.22, 1.00,  -1.18, 1.00,    0.30, 1.00, -999, 0.00,   0.3, 1.00
